[L]# 06:26:42-394  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-394  ThreadID:1 >> Red方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-395  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-395  ThreadID:1 >> 张俊  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了5个了
[L]# 06:26:42-396  ThreadID:1 >> 张俊 创建 关羽 
[L]# 06:26:42-397  ThreadID:1 >> 解锁武将
[L]# 06:26:42-399  ThreadID:1 >> Red添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-399  ThreadID:1 >> 目前红方有15个，蓝方有10个，本局积分5000
[L]# 06:26:42-400  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-400  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
[L]# 06:26:42-400  ThreadID:1 >> Id 为acSNVF 的房间存在,玩家5aaa0617-78de-485d-9a70-147e5e9c2647开始送礼物
[L]# 06:26:42-401  ThreadID:1 >> 春天在哪里 赠送了礼物  本局自动点赞
[L]# 06:26:42-401  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-401  ThreadID:1 >> Blue方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-402  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-402  ThreadID:1 >> 春天在哪里  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了1个了
[L]# 06:26:42-402  ThreadID:1 >> Blue添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-403  ThreadID:1 >> 目前红方有15个，蓝方有15个，本局积分6000
[L]# 06:26:42-403  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-548  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
[L]# 06:26:42-549  ThreadID:1 >> Id 为acSNVF 的房间存在,玩家5aaa0617-78de-485d-9a70-147e5e9c2647开始送礼物
[L]# 06:26:42-549  ThreadID:1 >> 张俊 赠送了礼物  本局自动点赞
[L]# 06:26:42-549  ThreadID:1 >> 张俊 赠送了礼物  本局自动点赞
[L]# 06:26:42-549  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-550  ThreadID:1 >> Red方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-550  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-550  ThreadID:1 >> 张俊  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了6个了
[L]# 06:26:42-551  ThreadID:1 >> Red添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-551  ThreadID:1 >> 目前红方有20个，蓝方有15个，本局积分7000
[L]# 06:26:42-552  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-593  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
[L]# 06:26:42-594  ThreadID:1 >> Id 为acSNVF 的房间存在,玩家5aaa0617-78de-485d-9a70-147e5e9c2647开始送礼物
[L]# 06:26:42-594  ThreadID:1 >> 美术程老师 赠送了礼物  本局自动点赞
[L]# 06:26:42-594  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-595  ThreadID:1 >> Blue方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-595  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-595  ThreadID:1 >> 美术程老师  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了2个了
[L]# 06:26:42-595  ThreadID:1 >> Blue添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-596  ThreadID:1 >> 目前红方有20个，蓝方有20个，本局积分8000
[L]# 06:26:42-596  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-733  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
[L]# 06:26:42-733  ThreadID:1 >> Id 为acSNVF 的房间存在,玩家5aaa0617-78de-485d-9a70-147e5e9c2647开始送礼物
[L]# 06:26:42-733  ThreadID:1 >> Sky2002 赠送了礼物  本局自动点赞
[L]# 06:26:42-734  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-734  ThreadID:1 >> Red方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-734  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-735  ThreadID:1 >> Sky2002  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了1个了
[L]# 06:26:42-735  ThreadID:1 >> Red添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-735  ThreadID:1 >> 目前红方有25个，蓝方有20个，本局积分9000
[L]# 06:26:42-736  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-763  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
[L]# 06:26:42-764  ThreadID:1 >> Id 为acSNVF 的房间存在,玩家5aaa0617-78de-485d-9a70-147e5e9c2647开始送礼物
[L]# 06:26:42-764  ThreadID:1 >> 风尘三侠 赠送了礼物  本局自动点赞
[L]# 06:26:42-764  ThreadID:1 >> 甜甜圈
[L]# 06:26:42-765  ThreadID:1 >> Blue方 添加了Unit_qb_5 类型的兵种 存储了5个 
[L]# 06:26:42-765  ThreadID:1 >> 积分池中添加了1000分
[L]# 06:26:42-765  ThreadID:1 >> 风尘三侠  刷了一个礼物 甜甜圈  积分增加了1000，这个礼物已经赠送了2个了
[L]# 06:26:42-766  ThreadID:1 >> Blue添加了Unit_qb_5，添加了5个，积分增加了1000
[L]# 06:26:42-766  ThreadID:1 >> 目前红方有25个，蓝方有25个，本局积分10000
[L]# 06:26:42-767  ThreadID:1 >> 分发了礼物转换为士兵的消息
[L]# 06:26:42-888  ThreadID:1 >> 收到一个送礼请求， Id 为5aaa0617-78de-485d-9a70-147e5e9c2647 
